Codigo;Município;Area;Densidade;Distancia;RendaperCapita;Gini;Intensidadedapobreza;IDH;Populacaototal
510025;Alta Floresta (MT);8982,8;5,2;635,6075171;264,66;0,59;34,13;0,779;46982
110001;Alta Floresta d'Oeste (RO);7111,8;3,7;415,523881;188,27;0,58;46,69;0,715;26533
350090;Altair (SP);317;11,2;418,5437753;225,66;0,5;36,48;0,766;3530
150060;Altamira (PA);161445,9;0,5;454,548687;205;0,58;40,86;0,737;77439
210040;Altamira do Maranhão (MA);220,2;48;223,0822856;52,73;0,53;61,17;0,567;8865
410045;Altamira do Paraná (PR);386,3;18,1;353,1160476;122,75;0,62;52,04;0,677;6999
230060;Altaneira (CE);87,1;65,2;388,3402708;70,93;0,63;64,9;0,576;5687
410050;Altãnia (PR);889,2;21,6;498,3267012;185,52;0,53;35,68;0,743;19230
310200;Alterosa (MG);367,1;35,3;277,6844856;197,74;0,5;34,92;0,736;12976
260080;Altinho (PE);452,6;48,8;138,300789;83,88;0,58;58,65;0,59;22131
350100;Altinópolis (SP);932;16,6;290,3333811;385,17;0,63;29,78;0,823;15481
140005;Alto Alegre (RR);26109,7;0,7;91,94861186;79,21;0,58;66,23;0,662;17907
350110;Alto Alegre (SP);319,1;13,4;422,8563241;219,66;0,49;34;0,774;4261
430055;Alto Alegre (RS);110,6;19,3;220,5207662;251,64;0,52;37,72;0,797;2137
210043;Alto Alegre do Maranhão (MA);453,4;44,3;187,686443;64,09;0,52;58,68;0,538;20162
110037;Alto Alegre do Parecis (RO);3952,7;3,2;436,1361906;111,78;0,52;52,27;0,674;12708
210047;Alto Alegre do Pindaré (MA);2177,2;13,8;219,3874794;60,9;0,56;58,37;0,542;30177
510030;Alto Araguaia (MT);5556,5;2;361,670369;233,35;0,59;37,93;0,786;11410
420075;Alto Bela Vista (SC);104,2;20,1;328,4915342;234,33;0,47;34,48;0,795;2098
510035;Alto Boa Vista (MT);6142,9;1;669,6232508;172;0,58;49,88;0,708;6206
310205;Alto Caparaó (MG);130,3;35,9;228,4833551;264,04;0,58;32,65;0,758;4673
240070;Alto do Rodrigues (RN);207,4;45,8;180,7656422;143,88;0,55;43,3;0,688;9499
430057;Alto Feliz (RS);85,3;33,2;71,66620024;247,82;0,4;26,88;0,808;2834
510040;Alto Garças (MT);3672,2;2,3;312,2927673;325,45;0,69;38,78;0,795;8335
520055;Alto Horizonte (GO);505,6;5,1;276,0611029;178,18;0,58;45,94;0,743;2564
315350;Alto Jequitibá (MG);153,2;54,9;218,3119484;192,34;0,5;36,48;0,735;8458
220030;Alto Longá (PI);1667;7,2;67,94349369;64,22;0,57;60,76;0,58;12000
510050;Alto Paraguai (MT);2059,9;4,2;127,1662673;125,42;0,55;50,91;0,704;8605
110040;Alto Paraíso (RO);2658,7;4,9;123,5144224;228,16;0,65;48,65;0,715;13118
520060;Alto Paraíso de Goiás (GO);2603,4;2,4;339,0236972;203,05;0,61;44,2;0,738;6182
410060;Alto Paraná (PR);408,5;31,1;400,540372;198,72;0,51;32,63;0,743;12717
210050;Alto Parnaíba (MA);11195,3;0,9;753,0501071;93,27;0,69;62,9;0,636;10174
410070;Alto Piquiri (PR);451;23,9;448,491218;221,78;0,65;41,8;0,75;10761
310210;Alto Rio Doce (MG);520,4;26,6;145,8396523;123,95;0,59;51,81;0,696;13858
320035;Alto Rio Novo (ES);234,2;29,7;157,2990168;174,25;0,55;41,84;0,679;6964
230070;Alto Santo (CE);1322,9;11,6;202,6950209;92,75;0,57;53,17;0,654;15394
510060;Alto Taquari (MT);1399,2;3,2;388,7715338;409,13;0,7;38,38;0,804;4476
220040;Altos (PI);1311,8;29,8;38,1507517;77,96;0,55;54,94;0,618;39122
350115;Alumínio (SP);83,9;181,8;63,78792685;298,52;0,45;47,14;0,787;15252
130002;Alvarães (AM);5937,9;2;530,3985542;91,95;0,58;57,35;0,647;12150
310220;Alvarenga (MG);368,4;14,1;237,2984917;115,34;0,56;48,47;0,657;5212
350150;Alvinlândia (SP);85,2;33,3;342,5649963;189,99;0,49;29,77;0,741;2837
310230;Alvinópolis (MG);601,1;25,9;100,0613136;161,21;0,55;39,13;0,727;15588
170070;Alvorada (TO);1216,8;7;271,1181848;168,86;0,55;41,44;0,731;8508
430060;Alvorada (RS);72,9;2516,1;14,83869815;214,75;0,45;40,6;0,768;183968
110034;Alvorada d'Oeste (RO);2982,2;6,6;337,5145428;162,11;0,65;55,48;0,694;19832
310240;Alvorada de Minas (MG);376,1;9,3;135,1724919;99,62;0,65;57,21;0,667;3527
220045;Alvorada do Gurguéia (PI);2342,1;1,8;385,8827513;73,46;0,6;57,7;0,574;4211
520080;Alvorada do Norte (GO);1296,6;5,8;383,4585181;150,83;0,6;46,74;0,688;7560
410080;Alvorada do Sul (PR);419,9;22,1;354,9808114;214,32;0,52;31,11;0,757;9253
140002;Amajari (RR);28598,4;0,2;120,5980657;93,41;0,64;63,4;0,654;5294
500060;Amambai (MS);4212,3;7;301,6853053;229,54;0,63;43,23;0,759;29484
160010;Amapá (AP);9203,5;0,8;225,8414559;135,43;0,61;54,43;0,72;7121
210055;Amapá do Maranhão (MA);951,5;5,7;209,9293686;64,65;0,56;56,97;0,572;5431
410090;Amaporã (PR);390;12;440,3561255;172,02;0,54;38,8;0,709;4655
260090;Amaraji (PE);238,8;89,3;72,7592718;79,13;0,52;53,16;0,617;21309
430063;Amaral Ferrador (RS);506,6;11,3;135,4849883;184,2;0,51;39,43;0,727;5740
520082;Amaralina (GO);1418,1;2,2;305,9480666;89,31;0,62;51,33;0,648;3074
220050;Amarante (PI);1336,8;12,6;128,1443208;78,48;0,57;57,3;0,63;16884
210060;Amarante do Maranhão (MA);7210,2;4,3;432,38429;57,76;0,62;65,06;0,582;31292
290100;Amargosa (BA);437,6;70,3;118,6305324;123,57;0,57;47,85;0,662;31108
130006;Amaturá (AM);4780,1;1,9;907,2023568;68,12;0,69;67,82;0,631;7308
350160;Americana (SP);133,9;1359,9;114,560278;473,23;0,5;43,66;0,84;182593
